,,,,Call initiation Timestamp Date,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-12,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-11,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-10,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-09,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-06,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-05,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-04,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-03,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-02,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
20,3259,Tony's Giant Pizza Grill,ES-12,2026-02-18,3,2,1,1,0,0,67%,33%,33%,0.0%,16,1,15,14,1,2,6%,94%,88%,6.7%,35,5,30,30,0,3,14%,86%,86%,0.0%,18,3,15,15,0,2,17%,83%,83%,0.0%,21,2,19,18,1,0,10%,90%,86%,5.3%,16,1,15,14,1,0,6%,94%,88%,6.7%,21,3,18,17,1,1,14%,86%,81%,5.6%,18,0,18,17,1,1,0%,100%,94%,5.6%,10,1,9,9,0,0,10%,90%,90%,0.0%,13,3,10,10,0,1,23%,77%,77%,0.0%,15,4,11,11,0,2,27%,73%,73%,0.0%,17,5,12,12,0,0,29%,71%,71%,0.0%,23,6,17,17,0,0,26%,74%,74%,0.0%,21,5,16,15,1,0,24%,76%,71%,6.3%
21,29331,Beach Pizza,ES-12,2025-12-01,,,,,,,,,,,12,0,12,12,0,1,0%,100%,100%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,22,3,19,19,0,0,14%,86%,86%,0.0%,15,0,15,15,0,1,0%,100%,100%,0.0%,16,0,16,16,0,3,0%,100%,100%,0.0%,21,1,20,20,0,2,5%,95%,95%,0.0%,24,1,23,23,0,1,4%,96%,96%,0.0%,18,0,18,18,0,1,0%,100%,100%,0.0%,17,0,17,17,0,2,0%,100%,100%,0.0%,8,0,8,8,0,1,0%,100%,100%,0.0%,21,1,20,20,0,1,5%,95%,95%,0.0%,18,1,17,17,0,0,6%,94%,94%,0.0%,17,1,16,16,0,4,6%,94%,94%,0.0%
22,27915,Pizza Joint,ES-12,2026-04-02,1,0,1,1,0,0,0%,100%,100%,0.0%,8,1,7,7,0,0,13%,88%,88%,0.0%,3,2,1,1,0,0,67%,33%,33%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,7,0,7,6,1,0,0%,100%,86%,14.3%,11,2,9,9,0,1,18%,82%,82%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,4,0,4,4,0,0,0%,100%,100%,0.0%,2,0,2,2,0,0,0%,100%,100%,0.0%,4,0,4,3,1,0,0%,100%,75%,25.0%,5,2,3,3,0,0,40%,60%,60%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%,7,0,7,7,0,0,0%,100%,100%,0.0%
23,24122,Luigi's Cafe Pizza & Pasta,ES-12,2026-04-02,1,1,0,0,0,0,100%,0%,0%,,2,2,0,0,0,0,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,100%,0%,0%,,1,1,0,0,0,0,100%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20674,Pizza Plus Fried Chicken,ES-12,2026-05-13,9,1,8,8,0,0,11%,89%,89%,0.0%,6,0,6,6,0,0,0%,100%,100%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1840,Palm Pizza,ES-12,2025-10-20,11,0,11,11,0,0,0%,100%,100%,0.0%,18,1,17,17,0,1,6%,94%,94%,0.0%,23,1,22,22,0,0,4%,96%,96%,0.0%,22,0,22,22,0,0,0%,100%,100%,0.0%,28,1,27,27,0,0,4%,96%,96%,0.0%,25,1,24,24,0,0,4%,96%,96%,0.0%,21,0,21,19,2,0,0%,100%,90%,9.5%,26,1,25,25,0,0,4%,96%,96%,0.0%,17,2,15,14,1,0,12%,88%,82%,6.7%,16,1,15,15,0,1,6%,94%,94%,0.0%,25,1,24,24,0,0,4%,96%,96%,0.0%,43,8,35,34,1,1,19%,81%,79%,2.9%,36,2,34,32,2,0,6%,94%,89%,5.9%,24,4,20,20,0,1,17%,83%,83%,0.0%
26,15797,Pizza Rustica South Beach,ES-12,2025-11-21,1,0,1,1,0,0,0%,100%,100%,0.0%,6,0,6,6,0,1,0%,100%,100%,0.0%,7,0,7,7,0,1,0%,100%,100%,0.0%,11,0,11,10,1,2,0%,100%,91%,9.1%,6,0,6,6,0,0,0%,100%,100%,0.0%,11,0,11,11,0,1,0%,100%,100%,0.0%,3,0,3,3,0,0,0%,100%,100%,0.0%,9,1,8,8,0,2,11%,89%,89%,0.0%,4,0,4,4,0,1,0%,100%,100%,0.0%,7,0,7,7,0,2,0%,100%,100%,0.0%,8,0,8,8,0,1,0%,100%,100%,0.0%,23,2,21,19,2,2,9%,91%,83%,9.5%,11,3,8,8,0,2,27%,73%,73%,0.0%,7,0,7,7,0,1,0%,100%,100%,0.0%
27,14324,Piccola Italia,ES-12,2026-05-14,1,0,1,1,0,1,0%,100%,100%,0.0%,28,24,4,4,0,0,86%,14%,14%,0.0%,25,25,0,0,0,0,100%,0%,0%,,16,12,4,4,0,0,75%,25%,25%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,14085,Speederia Pizzeria,ES-12,2026-03-31,2,0,2,2,0,0,0%,100%,100%,0.0%,10,1,9,9,0,0,10%,90%,90%,0.0%,5,0,5,5,0,2,0%,100%,100%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,15,4,11,10,1,0,27%,73%,67%,9.1%,7,0,7,7,0,1,0%,100%,100%,0.0%,28,4,24,24,0,0,14%,86%,86%,0.0%,9,0,9,9,0,0,0%,100%,100%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,16,1,15,14,1,0,6%,94%,88%,6.7%,9,3,6,6,0,0,33%,67%,67%,0.0%,9,2,7,7,0,0,22%,78%,78%,0.0%,8,2,6,6,0,0,25%,75%,75%,0.0%,13,1,12,12,0,1,8%,92%,92%,0.0%
29,13394,Angela's Pizzeria,ES-12,2025-10-03,4,2,2,2,0,0,50%,50%,50%,0.0%,22,1,21,21,0,1,5%,95%,95%,0.0%,14,0,14,14,0,1,0%,100%,100%,0.0%,10,1,9,9,0,0,10%,90%,90%,0.0%,25,1,24,24,0,1,4%,96%,96%,0.0%,30,1,29,29,0,2,3%,97%,97%,0.0%,16,1,15,15,0,2,6%,94%,94%,0.0%,18,0,18,18,0,2,0%,100%,100%,0.0%,31,0,31,31,0,1,0%,100%,100%,0.0%,12,2,10,10,0,0,17%,83%,83%,0.0%,7,1,6,6,0,0,14%,86%,86%,0.0%,35,6,29,29,0,3,17%,83%,83%,0.0%,22,3,19,19,0,2,14%,86%,86%,0.0%,33,2,31,30,1,4,6%,94%,91%,3.2%
